127.0.0.1 - - [12/Jul/2024:05:44:15 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:44:17 +0530] "GET /HospitalManagementSystem/logindashboard.jsp HTTP/1.1" 200 5437
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:44:18 +0530] "GET /HospitalManagementSystem/images/194915.png HTTP/1.1" 200 30714
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:44:18 +0530] "GET /HospitalManagementSystem/images/logo.jpg HTTP/1.1" 200 36861
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:44:18 +0530] "GET /HospitalManagementSystem/images/tetoscope.png HTTP/1.1" 200 6205
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:44:18 +0530] "GET /HospitalManagementSystem/images/watch.png HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:44:18 +0530] "GET /HospitalManagementSystem/images/ambulance.png HTTP/1.1" 200 8674
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:44:18 +0530] "GET /HospitalManagementSystem/images/hos1.jpg HTTP/1.1" 200 20936
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:44:18 +0530] "GET /HospitalManagementSystem/images/vecteezy_healthcare-theme-3d-illustration-of-an-empty-emergency-room_26977435.jpg HTTP/1.1" 200 2705265
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:44:18 +0530] "GET /HospitalManagementSystem/images/theator.jpg HTTP/1.1" 200 56757
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:44:18 +0530] "GET /HospitalManagementSystem/images/Contact-us.jpg HTTP/1.1" 200 98658
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:44:18 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:46:42 +0530] "GET /HospitalManagementSystem/logindashboard.jsp HTTP/1.1" 200 5437
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:46:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:46:44 +0530] "GET /HospitalManagementSystem/allLogin.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:46:44 +0530] "GET /HospitalManagementSystem/images/admin1-removebg-preview%20(1).png HTTP/1.1" 200 140167
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:46:44 +0530] "GET /HospitalManagementSystem/images/alllogin.jpg HTTP/1.1" 200 129403
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:46:44 +0530] "GET /HospitalManagementSystem/images/rec-removebg-preview.png HTTP/1.1" 200 39338
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:46:44 +0530] "GET /HospitalManagementSystem/images/doctor1-removebg-preview.png HTTP/1.1" 200 46820
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:46:50 +0530] "GET /HospitalManagementSystem/Login.jsp HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:46:50 +0530] "GET /HospitalManagementSystem/images/adminlogin.jpg HTTP/1.1" 200 21250
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:47:03 +0530] "POST /HospitalManagementSystem/login1 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:47:17 +0530] "POST /HospitalManagementSystem/login1 HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:47:17 +0530] "GET /HospitalManagementSystem/CSS/loginstyle.css HTTP/1.1" 200 4050
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:47:24 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 6137
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:48:07 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 6136
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:48:40 +0530] "POST /HospitalManagementSystem/viewDoctor.jsp HTTP/1.1" 200 6836
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:48:40 +0530] "POST /HospitalManagementSystem/viewDoctor.jsp HTTP/1.1" 200 6836
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:48:48 +0530] "GET /HospitalManagementSystem/searchDoctor.jsp?n=b HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:48:48 +0530] "GET /HospitalManagementSystem/searchDoctor.jsp?n=bg HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:48:50 +0530] "GET /HospitalManagementSystem/searchDoctor.jsp?n=b HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:48:50 +0530] "GET /HospitalManagementSystem/searchDoctor.jsp?n= HTTP/1.1" 200 2737
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:48:51 +0530] "GET /HospitalManagementSystem/searchDoctor.jsp?n=d HTTP/1.1" 200 2538
0:0:0:0:0:0:0:1 - - [12/Jul/2024:05:48:52 +0530] "GET /HospitalManagementSystem/searchDoctor.jsp?n=dr HTTP/1.1" 200 2538
